time_ms,x1,y1,z1,x2,y2,z2
Calibrating sensors... Please keep them stationary!
Offsets calculated: 0.007, -0.008, -0.968 | 0.006, 0.055, -1.021
Calibration complete. Now measuring real data:
Time(ms), X1(g), Y1(g), Z1(g), X2(g), Y2(g), Z2(g)
1135, -0.016, 0.088, -0.063, -0.015, 0.010, -0.010
1342, -0.031, -0.149, 0.056, 0.015, -0.020, -0.010
1548, 0.028, -0.089, -0.003, -0.044, -0.005, 0.034
1754, -0.061, -0.060, -0.003, -0.000, 0.025, -0.055
1960, 0.132, 0.088, 0.026, -0.030, -0.005, 0.079
2166, -0.016, -0.089, -0.122, 0.015, -0.005, -0.040
2373, -0.016, 0.059, 0.056, -0.015, -0.020, -0.010
2579, -0.298, -0.015, -0.092, -0.015, -0.020, 0.005
2785, -0.223, -0.104, -0.063, -0.000, -0.020, 0.020
2992, -0.046, 0.029, -0.033, -0.015, -0.005, -0.040
3197, -0.031, 0.103, -0.003, -0.044, 0.040, 0.020
3404, 0.028, -0.000, -0.003, -0.015, 0.010, 0.020
3610, 0.088, 0.177, -0.048, 0.030, -0.020, -0.025
3816, -0.046, -0.000, 0.012, -0.000, -0.005, 0.005
4023, 0.073, 0.029, -0.003, -0.015, -0.049, -0.010
4229, -0.135, 0.088, -0.077, -0.015, -0.005, -0.010
4434, 0.073, -0.015, 0.115, -0.000, -0.005, 0.020
4641, 0.162, -0.015, 0.056, -0.030, -0.005, -0.010
4847, -0.164, -0.104, -0.018, -0.015, -0.020, -0.010
5054, 0.028, -0.015, -0.003, -0.000, -0.005, -0.055
5260, -0.105, -0.163, -0.048, -0.015, 0.025, -0.040
5466, 0.073, -0.045, 0.041, -0.015, -0.020, 0.020
5672, 0.013, 0.118, -0.033, -0.030, -0.005, -0.010
5878, -0.046, 0.133, -0.018, -0.015, -0.005, 0.005
6085, -0.149, -0.089, -0.033, -0.030, -0.034, -0.025
6291, -0.105, 0.029, 0.012, -0.030, -0.005, -0.055
6497, -0.149, -0.060, -0.077, -0.000, -0.020, -0.025
6704, -0.001, 0.029, -0.092, -0.015, -0.005, 0.005
6909, 0.028, -0.089, -0.033, -0.015, -0.020, -0.010
7116, -0.061, 0.014, -0.003, -0.000, 0.025, -0.010
7322, -0.031, -0.089, -0.048, -0.044, -0.020, 0.034
7528, -0.105, -0.089, -0.003, -0.000, -0.020, -0.010
7735, -0.046, -0.089, -0.003, -0.015, 0.010, 0.005
7941, -0.061, -0.149, 0.012, -0.015, -0.005, 0.005
8147, -0.016, 0.044, -0.063, -0.000, -0.020, -0.040
8353, -0.135, -0.060, -0.107, -0.015, 0.025, -0.040
8559, -0.238, -0.015, -0.092, -0.000, -0.020, 0.034
8766, 0.162, -0.178, 0.086, 0.030, -0.020, -0.055
8972, 0.117, 0.044, -0.003, -0.030, -0.034, 0.034
9179, 0.043, 0.133, -0.033, -0.015, -0.005, -0.010
9384, -0.090, 0.133, -0.048, -0.015, -0.034, 0.005
9590, -0.016, -0.015, 0.026, 0.030, -0.020, -0.010
9797, 0.073, 0.044, -0.033, -0.030, 0.010, -0.055
10003, 0.132, 0.044, 0.071, -0.030, -0.005, -0.010
10210, -0.386, -0.060, -0.151, -0.015, -0.005, -0.010
10416, -0.001, -0.030, -0.033, 0.030, -0.034, 0.020
10622, 0.043, 0.044, -0.018, -0.000, -0.005, -0.010
10828, -0.031, 0.044, -0.077, -0.000, -0.020, -0.055
11034, -0.135, -0.149, -0.018, -0.030, -0.020, -0.010
11241, -0.061, -0.149, -0.003, -0.015, -0.005, -0.069
11447, 0.102, 0.118, -0.018, -0.015, -0.005, -0.040
11654, -0.061, -0.119, -0.063, -0.015, -0.005, 0.049
11859, -0.075, -0.060, 0.026, -0.015, -0.005, 0.020
12066, -0.120, -0.030, -0.092, -0.000, 0.025, -0.010
12272, -0.061, 0.029, -0.092, -0.000, -0.020, 0.049
12479, -0.105, -0.134, -0.033, 0.015, -0.064, 0.005
12685, -0.031, 0.103, 0.115, -0.015, -0.020, -0.010
12891, 0.013, -0.015, -0.048, 0.030, -0.005, -0.010
13097, -0.090, -0.089, -0.048, -0.015, -0.005, 0.005
13303, -0.046, 0.029, -0.003, -0.000, -0.020, -0.010
13510, -0.135, 0.014, -0.077, -0.030, -0.020, -0.010
13716, 0.176, 0.014, -0.048, -0.044, -0.005, -0.025
13923, -0.120, 0.044, -0.107, -0.015, -0.049, 0.049
14129, 0.028, -0.015, 0.041, 0.030, -0.020, -0.040
14334, -0.223, -0.000, -0.063, -0.015, -0.005, -0.025
14541, -0.001, -0.237, 0.026, -0.000, -0.005, -0.010
14747, 0.058, 0.029, -0.048, 0.030, -0.005, -0.010
14954, 0.013, 0.118, -0.048, -0.015, -0.005, -0.025
15160, -0.046, 0.074, 0.012, -0.000, -0.005, -0.010
15367, 0.013, -0.089, 0.012, 0.030, -0.020, 0.005
15572, 0.073, -0.030, 0.012, -0.015, 0.010, -0.010
15779, -0.046, -0.045, -0.137, -0.000, -0.005, -0.010
15985, 0.013, 0.014, -0.033, -0.000, -0.005, 0.020
16191, 0.013, 0.014, -0.003, -0.030, -0.005, -0.025
16398, 0.043, 0.074, -0.048, -0.030, -0.005, -0.010
16604, -0.105, -0.060, -0.048, -0.000, -0.005, -0.040
16811, -0.046, -0.178, 0.012, 0.015, 0.010, 0.005
17016, 0.073, 0.059, -0.018, -0.015, -0.005, 0.005
17223, -0.135, -0.015, -0.003, -0.015, -0.005, 0.079
17429, -0.001, 0.029, -0.048, -0.015, 0.010, -0.040
17636, 0.013, -0.015, -0.122, -0.000, -0.005, 0.005
17842, -0.209, -0.074, -0.063, -0.030, 0.025, 0.020
18048, 0.102, 0.059, -0.048, -0.000, -0.034, -0.040
18254, -0.016, 0.118, -0.048, -0.015, -0.034, 0.064
18460, 0.043, 0.148, 0.012, -0.000, -0.005, 0.049
18667, -0.031, 0.059, -0.077, -0.000, -0.034, 0.005
18873, -0.105, -0.089, -0.018, 0.015, 0.010, -0.010
19080, -0.090, -0.000, -0.048, 0.015, -0.020, -0.010
19286, -0.298, -0.060, -0.092, -0.015, -0.020, 0.049
19492, -0.179, 0.044, -0.122, -0.000, -0.005, 0.020
19698, 0.028, -0.045, 0.026, -0.015, -0.034, -0.010
19904, 0.058, 0.148, -0.063, -0.015, -0.005, 0.005
20111, -0.135, -0.119, -0.003, -0.000, -0.020, -0.040
20317, -0.001, -0.163, -0.048, -0.030, -0.005, -0.069
20524, -0.061, 0.044, -0.003, 0.015, -0.005, -0.040
20729, 0.013, 0.044, 0.012, -0.015, 0.010, -0.010
20936, -0.016, -0.030, 0.086, 0.015, -0.020, -0.010
21142, 0.073, 0.044, -0.018, -0.000, 0.010, -0.010
21348, -0.327, -0.060, -0.122, -0.015, -0.005, -0.025
21555, 0.102, -0.119, -0.003, -0.000, -0.020, -0.025
21761, -0.046, -0.104, -0.048, 0.015, -0.005, -0.025
21967, 0.013, -0.015, 0.012, -0.015, -0.005, 0.020
